trial,feedback,run_num,agent_interv,participant,prob_win_L,prob_win_R,mine_key.keys,L_stim_pos,R_stim_pos,intervention_choice_key.keys,subj_choice,condition,participant,latent_guess,feedback,trigger_onset,trial_onset,trial_offset,isi1_onset,isi1_offset,fb_onset,fb_offset,isi2_onset,isi2_offset,interv_onset,interv_offset,iti_onset,iti_offset,iri_onset,iri_offset
2,1,3,1,2,0.3,0.7,2,left,right,2,2,benevolent,2,0,1,1484.742782,15.6143670000001,16.4836010000001,16.485306,18.9823550000001,18.9911000000002,20.5239270000002,20.5262170000001,22.5239820000002,22.5311810000001,23.8428060000001,23.854472,30.1156930000002,422.205049,432.206847
3,1,3,0,2,0.3,0.7,1,right,left,2,1,benevolent,2,0,1,1499.407106,30.1729270000001,31.1431360000001,31.14482,33.1411560000001,33.1480180000001,34.6743700000002,34.6762900000001,36.6743020000001,36.6811440000001,38.676058,38.687936,42.174528,422.205049,432.206847
4,1,3,0,2,0.3,0.7,1,right,left,2,1,benevolent,2,0,1,1510.97092,42.228918,42.7099500000002,42.711712,45.208429,45.2164730000002,46.7410540000001,46.743023,49.7419630000002,49.751205,50.410079,50.4157,55.7335030000002,422.205049,432.206847
5,0,3,0,2,0.3,0.7,1,right,left,2,1,benevolent,2,0,0,1524.615662,55.791332,56.3525940000002,56.3543910000001,58.350588,58.35788,59.8834920000002,59.885442,62.8841480000001,62.8943570000001,63.9519600000001,63.9604290000002,69.7922470000001,422.205049,432.206847
6,1,3,0,2,0.3,0.7,1,right,left,2,1,benevolent,2,0,1,1538.685977,69.8529680000001,70.4272390000001,70.4290370000001,71.92624,71.9322530000002,73.4588610000001,73.460857,76.4597330000001,76.469953,78.86959,78.8840740000001,82.359424,422.205049,432.206847
7,1,3,0,2,0.3,0.7,2,left,right,2,2,benevolent,2,0,1,1551.338454,82.414297,83.0776820000001,83.0793600000002,84.5766180000001,84.584928,86.109864,86.1123640000001,90.109731,90.1226630000001,90.9365520000001,90.9432730000001,95.9185030000001,422.205049,432.206847
8,1,3,0,2,0.3,0.7,1,right,left,2,1,benevolent,2,0,1,1564.775877,95.9785870000001,96.5116910000002,96.5133640000001,98.010399,98.016417,99.543265,99.5452380000002,103.543806,103.555981,104.312491,104.319256,110.485748,422.205049,432.206847
9,1,3,1,2,0.3,0.7,2,left,right,2,2,benevolent,2,0,1,1579.33127,110.548703,111.071156,111.072858,113.069535,113.076904,114.602467,114.606777,118.602865,118.615056,119.438138,119.445294,126.55237,422.205049,432.206847
10,1,3,0,2,0.3,0.7,1,right,left,2,1,benevolent,2,0,1,1595.358855,126.618453,127.096017,127.097657,129.59472,129.603397,131.127647,131.130235,134.128662,134.138878,135.180637,135.189837,141.120444,422.205049,432.206847
11,1,3,0,2,0.3,0.7,2,left,right,2,2,benevolent,2,0,1,1609.953641,141.18407,141.696757,141.698585,144.195507,144.206679,145.737701,145.740052,147.737054,147.744524,148.605723,148.612921,153.68697,422.205049,432.206847
12,1,3,0,2,0.3,0.7,1,right,left,2,1,benevolent,2,0,1,1622.508779,153.75103,154.247152,154.248852,155.746462,155.752595,157.279221,157.281557,161.279684,161.292116,161.889502,161.895156,169.254474,422.205049,432.206847
13,1,3,0,2,0.3,0.7,1,right,left,2,1,benevolent,2,0,1,1638.150743,169.321318,169.889966,169.891661,171.388512,171.394643,172.921621,172.923583,174.921827,174.93162,175.673623,175.680081,180.830077,422.205049,432.206847
14,1,3,0,2,0.3,0.7,2,left,right,2,2,benevolent,2,0,1,1649.671004,180.89551,181.406969,181.408727,183.905467,183.914256,185.438679,185.440959,188.4389,188.448875,189.124329,189.13064,195.396958,422.205049,432.206847
15,0,3,0,2,0.3,0.7,2,left,right,2,2,benevolent,2,0,0,1664.289626,195.46437,196.032329,196.034051,198.031424,198.039297,199.564355,199.566647,203.56395,203.578143,204.14922,204.157645,211.472906,422.205049,432.206847
16,1,3,1,2,0.3,0.7,1,right,left,2,1,benevolent,2,0,1,1680.319546,211.541415,212.058756,212.06046,214.557002,214.565741,216.089914,216.092204,219.090204,219.100362,219.94151,219.948336,227.048504,422.205049,432.206847
17,1,3,1,2,0.3,0.7,1,right,left,2,1,benevolent,2,0,1,1696.01235,227.11746,227.750478,227.752165,229.249106,229.255042,230.781992,230.784141,233.782664,233.795616,234.334488,234.339833,241.623928,422.205049,432.206847
18,1,3,1,2,0.3,0.7,1,right,left,2,1,benevolent,2,0,1,1710.496464,241.694157,242.233952,242.235646,243.732945,243.738562,245.266178,245.268542,247.266526,247.273431,247.934375,247.93998,253.199556,422.205049,432.206847
19,0,3,0,2,0.3,0.7,2,left,right,2,2,benevolent,2,0,0,1721.994298,253.265186,253.735365,253.737041,255.733174,255.740013,257.266343,257.268596,260.267006,260.276305,261.085718,261.092219,268.266792,422.205049,432.206847
20,1,3,0,2,0.3,0.7,1,right,left,2,1,benevolent,2,0,1,1737.1641,268.34057,268.902228,268.904199,270.900742,270.908135,272.441875,272.444215,276.442589,276.45506,277.219223,277.225816,283.342638,422.205049,432.206847
21,0,3,0,2,0.3,0.7,1,right,left,1,1,benevolent,2,1,0,1752.145128,283.414633,283.885824,283.887558,285.384752,285.390696,286.917799,286.919763,288.918303,288.925868,290.295115,290.305094,295.91818,422.205049,432.206847
22,1,3,1,2,0.3,0.7,2,left,right,2,2,benevolent,2,0,1,1765.097925,295.990498,296.836437,296.838152,298.836106,298.843888,300.368445,300.370422,302.368587,302.375908,302.878336,302.883311,308.994109,422.205049,432.206847
23,1,3,0,2,0.3,0.7,2,left,right,2,2,benevolent,2,0,1,1777.918197,309.065078,309.653583,309.655303,311.152743,311.158792,312.685911,312.688442,316.686101,316.698942,318.345734,318.356628,324.569085,422.205049,432.206847
